aX,aY,aZ,gX,gY,gZ
-0.878,2.845,0.080,95.825,93.933,327.759
-0.536,2.827,0.098,63.721,97.900,296.082
-0.380,2.790,0.153,38.147,89.478,263.428
-0.243,2.672,0.204,29.907,72.449,220.459
-0.146,2.501,0.233,36.865,68.909,167.786
-0.145,2.285,0.165,52.856,68.237,124.390
-0.155,2.164,0.090,64.148,67.322,90.698
-0.170,2.050,0.027,67.505,63.354,68.726
-0.137,1.974,-0.020,60.730,56.702,57.373
-0.105,1.931,-0.037,48.401,47.668,50.537
-0.089,1.871,-0.044,34.607,37.231,41.748
-0.069,1.805,-0.048,23.193,30.457,29.297
-0.070,1.725,-0.056,15.442,27.039,12.878
-0.095,1.644,-0.076,11.780,24.292,-3.967
-0.118,1.568,-0.114,10.681,21.057,-18.738
-0.131,1.516,-0.143,10.498,15.564,-30.396
-0.135,1.460,-0.140,8.301,6.104,-39.917
-0.136,1.422,-0.092,4.822,-4.028,-48.096
-0.100,1.412,-0.018,1.282,-11.108,-56.335
-0.061,1.410,0.024,-0.366,-13.672,-66.650
-0.045,1.400,0.049,-0.793,-15.503,-79.102
-0.037,1.376,0.073,-2.380,-18.921,-91.431
-0.016,1.337,0.098,-5.615,-23.621,-101.990
-0.010,1.296,0.141,-10.071,-27.893,-110.413
-0.001,1.261,0.201,-15.442,-30.945,-116.455
0.022,1.253,0.253,-18.921,-31.860,-120.300
0.053,1.268,0.303,-20.569,-30.945,-124.451
0.093,1.296,0.349,-21.301,-29.297,-130.066
0.117,1.317,0.368,-21.301,-27.161,-138.306
0.130,1.328,0.364,-21.362,-22.217,-147.766
0.127,1.315,0.324,-23.376,-17.334,-157.288
0.121,1.268,0.304,-28.564,-16.052,-165.466
0.135,1.228,0.306,-35.278,-15.686,-171.265
0.160,1.191,0.320,-40.894,-13.672,-175.659
0.179,1.150,0.311,-43.579,-11.597,-180.847
0.172,1.095,0.301,-44.495,-9.888,-186.218
0.166,1.036,0.290,-44.312,-9.521,-190.186
0.181,1.005,0.300,-41.687,-9.521,-191.895
0.223,1.014,0.338,-35.767,-10.620,-194.092
0.273,1.050,0.376,-25.330,-9.827,-199.829
0.321,1.092,0.400,-11.230,-5.493,-210.815
0.355,1.123,0.384,3.601,1.709,-226.929
0.325,1.104,0.293,18.066,10.071,-247.314
0.269,1.041,0.204,23.499,15.198,-264.282
0.250,0.977,0.167,16.357,17.395,-272.705
0.241,0.904,0.167,0.793,17.639,-274.231
0.286,0.879,0.240,-18.677,19.531,-269.409
0.353,0.877,0.297,-34.729,26.245,-264.343
0.382,0.869,0.333,-42.480,33.752,-264.893
0.397,0.849,0.339,-44.312,37.354,-270.447
0.412,0.813,0.333,-41.138,37.598,-279.846
0.408,0.754,0.305,-34.790,35.400,-292.908
0.381,0.668,0.259,-26.001,31.433,-306.519
0.361,0.580,0.225,-19.165,27.222,-317.383

-1.116,1.253,0.567,-11.353,109.985,568.176
-1.207,1.432,0.369,2.930,117.432,536.072
-1.238,1.691,0.227,23.743,118.408,504.333
-1.194,1.880,0.099,46.082,115.967,471.436
-1.120,2.082,0.064,65.674,109.741,434.021
-1.004,2.329,-0.010,79.529,104.309,395.203
-0.889,2.464,-0.085,86.182,98.816,353.699
-0.807,2.494,-0.138,83.618,90.088,309.204
-0.689,2.471,-0.153,75.317,79.712,270.264
-0.577,2.412,-0.144,65.796,70.557,235.901
-0.448,2.378,-0.107,58.594,62.439,201.843
-0.338,2.324,-0.091,53.894,54.749,164.917
-0.290,2.176,-0.104,48.035,48.157,128.845
-0.262,2.018,-0.097,38.269,43.091,101.135
-0.249,1.889,-0.087,27.344,38.879,81.848
-0.211,1.780,-0.064,18.433,34.180,68.176
-0.178,1.692,-0.040,13.489,28.320,55.969
-0.155,1.625,-0.023,12.573,22.583,42.847
-0.163,1.558,-0.014,14.893,17.517,28.564
-0.163,1.506,-0.023,18.250,13.367,14.648
-0.163,1.462,-0.037,20.874,9.460,2.197
-0.177,1.427,-0.040,20.813,5.066,-8.545
-0.179,1.381,-0.038,18.188,0.549,-18.555
-0.180,1.331,-0.038,14.160,-3.601,-27.466
-0.172,1.255,-0.015,9.277,-7.385,-34.729
-0.171,1.171,0.014,5.615,-11.963,-38.940
-0.141,1.121,0.050,3.113,-14.954,-41.199
-0.104,1.101,0.089,3.418,-17.334,-43.091
-0.085,1.096,0.127,6.714,-18.799,-46.692
-0.071,1.092,0.169,10.376,-18.616,-51.514
-0.053,1.120,0.190,14.160,-17.456,-57.373
-0.031,1.146,0.202,18.677,-15.137,-64.453
-0.019,1.181,0.214,21.118,-12.390,-73.486
-0.005,1.203,0.227,20.569,-8.972,-82.397
0.006,1.216,0.241,17.761,-6.409,-90.576
-0.010,1.225,0.250,14.465,-4.150,-99.731
0.003,1.212,0.260,10.803,-1.648,-109.009
0.006,1.222,0.261,6.958,2.075,-116.394
0.010,1.224,0.248,3.113,5.127,-122.864
0.024,1.221,0.237,0.366,6.348,-127.930
0.027,1.218,0.219,-0.610,6.836,-133.240
0.046,1.224,0.216,-0.977,8.057,-138.489
0.053,1.216,0.194,-0.854,9.216,-143.188
0.068,1.211,0.169,-0.977,10.315,-147.400
0.087,1.219,0.160,-1.709,10.498,-151.489
0.105,1.225,0.160,-3.418,9.705,-156.128
0.144,1.243,0.193,-6.470,9.583,-160.339
0.179,1.273,0.200,-9.094,12.878,-165.833
